Frequency (Hz)	Level (dB)
666.992188	-45.238609
667.968750	-45.258240
668.945312	-45.078468
669.921875	-44.467262
670.898438	-43.930817
671.875000	-43.019936
672.851562	-43.330811
673.828125	-44.982513
674.804688	-45.342167
675.781250	-44.524319
676.757812	-44.141167
677.734375	-44.274044
678.710938	-41.635101
679.687500	-41.117142
680.664062	-40.705833
681.640625	-40.489677
682.617188	-42.317478
683.593750	-40.674557
684.570312	-42.045216
685.546875	-42.343792
686.523438	-41.345783
687.500000	-41.399837
688.476562	-41.863071
689.453125	-39.817387
690.429688	-39.498741
691.406250	-39.438835
692.382812	-38.479572
693.359375	-37.866798
694.335938	-37.168404
695.312500	-36.954926
696.289062	-37.642960
697.265625	-38.026901
698.242188	-36.876328
699.218750	-35.801910
700.195312	-36.277554
701.171875	-34.891323
702.148438	-33.600227
703.125000	-33.865475
704.101562	-34.818027
705.078125	-33.267193
706.054688	-33.083397
707.031250	-33.966167
708.007812	-33.726734
708.984375	-32.645206
709.960938	-35.597244
710.937500	-34.734745
711.914062	-34.495518
712.890625	-36.136112
713.867188	-34.746098
714.843750	-35.655415
715.820312	-35.555889
716.796875	-36.323982
717.773438	-37.020897
718.750000	-38.001686
719.726562	-39.051422
720.703125	-39.060955
721.679688	-37.586807
722.656250	-37.382019
723.632812	-39.782623
724.609375	-40.301182
725.585938	-40.534908
726.562500	-40.925003
727.539062	-41.460461
728.515625	-41.775467
729.492188	-41.984734
730.468750	-41.153721
731.445312	-41.378296
732.421875	-42.814262
733.398438	-41.511528
734.375000	-42.569057
735.351562	-43.335258
736.328125	-43.656578
737.304688	-44.392300
738.281250	-43.659885
739.257812	-44.017700
740.234375	-45.556782
741.210938	-44.599293
742.187500	-45.039940
743.164062	-44.307728
744.140625	-44.389652
745.117188	-45.517162
746.093750	-46.078297
747.070312	-44.145374
748.046875	-45.604263
749.023438	-45.287727
750.000000	-43.429379
750.976562	-44.732643
751.953125	-45.484558
752.929688	-45.432163
753.906250	-46.742069
754.882812	-46.348183
755.859375	-46.671711
756.835938	-48.299843
757.812500	-48.580048
758.789062	-47.737492
759.765625	-48.026905
760.742188	-46.986660
761.718750	-47.663605
762.695312	-47.887630
763.671875	-47.953327
764.648438	-47.438229
765.625000	-48.337555
766.601562	-48.110958
767.578125	-48.617844
768.554688	-48.682983
769.531250	-47.625759
770.507812	-49.345421
771.484375	-48.828125
772.460938	-48.584396
773.437500	-49.255730
774.414062	-50.129204
775.390625	-49.515434
776.367188	-50.224407
777.343750	-49.674946
778.320312	-49.643127
779.296875	-50.332714
780.273438	-50.601402
781.250000	-51.343002
782.226562	-50.843334
783.203125	-51.296272
784.179688	-50.985718
785.156250	-50.224842
786.132812	-50.398365
787.109375	-52.420456
788.085938	-50.790764
789.062500	-50.596321
790.039062	-51.544552
791.015625	-50.917957
791.992188	-50.567207
792.968750	-50.216572
793.945312	-52.461086
794.921875	-52.420952
795.898438	-51.207756
796.875000	-49.996948
797.851562	-49.920864
798.828125	-50.186562
799.804688	-52.097107
