Frequency (Hz)	Level (dB)
514.648438	-39.579525
515.625000	-39.369438
516.601562	-40.387650
517.578125	-41.455982
518.554688	-41.139717
519.531250	-41.021755
520.507812	-41.753220
521.484375	-42.143585
522.460938	-39.385296
523.437500	-40.410110
524.414062	-40.575047
525.390625	-41.143417
526.367188	-42.273994
527.343750	-42.667374
528.320312	-43.057407
529.296875	-43.202930
530.273438	-43.471134
531.250000	-43.435204
532.226562	-44.633091
533.203125	-46.278034
534.179688	-47.308128
535.156250	-45.305389
536.132812	-44.029385
537.109375	-45.156879
538.085938	-45.706970
539.062500	-46.137306
540.039062	-47.197380
541.015625	-47.600220
541.992188	-47.745811
542.968750	-48.568562
543.945312	-47.171448
544.921875	-49.902134
545.898438	-48.647423
546.875000	-49.024628
547.851562	-50.249702
548.828125	-50.198498
549.804688	-48.804188
550.781250	-48.538876
551.757812	-49.610153
552.734375	-51.222542
553.710938	-50.326397
554.687500	-50.627216
555.664062	-50.805374
556.640625	-51.696999
557.617188	-51.176533
558.593750	-51.663208
559.570312	-52.970627
560.546875	-53.158173
561.523438	-53.331245
562.500000	-51.950607
563.476562	-52.058491
564.453125	-53.534054
565.429688	-54.583263
566.406250	-54.683685
567.382812	-54.277386
568.359375	-55.151714
569.335938	-54.792431
570.312500	-54.946518
571.289062	-55.633568
572.265625	-54.699863
573.242188	-54.213951
574.218750	-55.065094
575.195312	-55.221375
576.171875	-55.456837
577.148438	-55.437675
578.125000	-56.440697
579.101562	-56.099415
580.078125	-55.746807
581.054688	-55.126507
582.031250	-54.795448
583.007812	-54.900780
583.984375	-55.988461
584.960938	-56.088486
585.937500	-55.327938
586.914062	-55.195335
587.890625	-56.497543
588.867188	-57.755428
589.843750	-57.422276
590.820312	-56.286964
591.796875	-55.435482
592.773438	-55.967701
593.750000	-55.861790
594.726562	-55.446739
595.703125	-56.390404
596.679688	-57.491673
597.656250	-58.594158
598.632812	-57.561340
599.609375	-56.352715
600.585938	-55.853516
601.562500	-56.682777
602.539062	-57.069111
603.515625	-55.760605
604.492188	-56.230495
605.468750	-56.388157
606.445312	-56.556057
607.421875	-58.436066
608.398438	-56.782780
609.375000	-55.881371
610.351562	-56.509766
611.328125	-58.305618
612.304688	-56.756447
613.281250	-56.095131
614.257812	-56.111565
615.234375	-54.685539
616.210938	-56.416607
617.187500	-56.894852
618.164062	-55.859451
619.140625	-55.997864
620.117188	-56.286095
621.093750	-57.472080
622.070312	-57.252563
623.046875	-57.215179
624.023438	-56.955025
625.000000	-57.022640
625.976562	-57.126335
626.953125	-55.878590
627.929688	-55.672958
628.906250	-56.053833
629.882812	-55.372334
630.859375	-55.568031
631.835938	-55.062103
632.812500	-53.944138
633.789062	-55.068584
634.765625	-55.375942
635.742188	-56.531361
636.718750	-54.991089
637.695312	-53.622574
638.671875	-53.624783
639.648438	-52.720898
640.625000	-53.364777
641.601562	-53.670227
642.578125	-53.464214
643.554688	-53.007401
644.531250	-53.063778
645.507812	-53.272018
646.484375	-53.518536
647.460938	-52.603256
648.437500	-52.221939
649.414062	-53.562702
650.390625	-52.409821
651.367188	-52.158596
652.343750	-51.597218
653.320312	-52.261013
654.296875	-52.540962
655.273438	-50.610989
656.250000	-50.244621
657.226562	-50.322300
658.203125	-49.704090
659.179688	-48.311485
660.156250	-48.772614
661.132812	-49.741043
662.109375	-48.133480
663.085938	-48.683498
664.062500	-48.684875
665.039062	-48.264282
666.015625	-48.744556
666.992188	-49.244999
667.968750	-49.226448
668.945312	-48.307671
669.921875	-48.656696
670.898438	-46.677460
671.875000	-46.989628
672.851562	-46.912941
673.828125	-47.526840
674.804688	-46.411823
675.781250	-45.758030
676.757812	-46.065586
677.734375	-45.797035
678.710938	-45.121929
679.687500	-44.997356
680.664062	-45.133186
681.640625	-43.808720
682.617188	-44.780663
683.593750	-46.523052
684.570312	-45.500713
685.546875	-44.995564
686.523438	-45.019569
687.500000	-45.056023
688.476562	-44.327057
689.453125	-45.352394
690.429688	-44.721844
691.406250	-43.580067
692.382812	-43.928352
693.359375	-44.208080
694.335938	-44.144993
695.312500	-44.097576
696.289062	-44.240833
697.265625	-44.555786
698.242188	-46.701794
699.218750	-46.079647
700.195312	-46.759541
701.171875	-45.770653
702.148438	-44.829323
703.125000	-44.434998
704.101562	-46.333817
705.078125	-45.517910
706.054688	-45.308994
707.031250	-46.545292
