Frequency (Hz)	Level (dB)
594.726562	-49.769295
595.703125	-51.116531
596.679688	-50.366367
597.656250	-50.131138
598.632812	-50.668682
599.609375	-48.792454
600.585938	-48.272038
601.562500	-49.429775
602.539062	-48.808075
603.515625	-47.954899
604.492188	-48.648495
605.468750	-48.280113
606.445312	-47.892429
607.421875	-48.979622
608.398438	-46.612022
609.375000	-46.110363
610.351562	-47.491047
611.328125	-46.436752
612.304688	-45.540051
613.281250	-45.883095
614.257812	-44.860443
615.234375	-44.523109
616.210938	-46.435696
617.187500	-46.125889
618.164062	-44.692757
619.140625	-45.013660
620.117188	-44.572998
621.093750	-44.471542
622.070312	-45.166660
623.046875	-44.827042
624.023438	-45.199669
625.000000	-44.380459
625.976562	-43.544617
626.953125	-43.043747
627.929688	-41.996677
628.906250	-42.885654
629.882812	-42.854145
630.859375	-42.956482
631.835938	-42.780296
632.812500	-41.607910
633.789062	-41.055187
634.765625	-41.552872
635.742188	-42.764572
636.718750	-42.400837
637.695312	-40.379551
638.671875	-40.979252
639.648438	-40.577755
640.625000	-40.186180
641.601562	-40.815781
642.578125	-39.771271
643.554688	-40.575836
644.531250	-40.645866
645.507812	-41.577339
646.484375	-40.495014
647.460938	-41.322453
648.437500	-42.349201
649.414062	-41.503002
650.390625	-41.532494
651.367188	-42.550198
652.343750	-43.668209
653.320312	-42.880051
654.296875	-43.770924
655.273438	-42.657223
656.250000	-42.382221
657.226562	-43.595558
658.203125	-43.400146
659.179688	-43.621330
660.156250	-42.279591
661.132812	-42.194576
662.109375	-42.215027
663.085938	-42.898602
664.062500	-44.440731
665.039062	-44.949585
666.015625	-45.112923
666.992188	-44.716454
667.968750	-45.153427
668.945312	-44.849094
669.921875	-46.296677
670.898438	-45.563923
671.875000	-45.013859
672.851562	-45.366707
673.828125	-46.692192
674.804688	-45.875465
675.781250	-47.155033
676.757812	-46.720364
677.734375	-45.239120
678.710938	-44.733196
679.687500	-46.107582
680.664062	-46.048740
681.640625	-46.000340
682.617188	-46.190533
683.593750	-46.823761
684.570312	-47.213329
685.546875	-47.988129
686.523438	-47.747280
687.500000	-48.002666
688.476562	-48.316360
689.453125	-47.729664
690.429688	-46.452343
691.406250	-46.946045
692.382812	-47.739193
693.359375	-47.503265
694.335938	-46.139454
695.312500	-47.150795
696.289062	-48.038940
697.265625	-47.595814
698.242188	-47.277229
699.218750	-47.448025
700.195312	-48.736313
701.171875	-47.947433
702.148438	-47.355026
703.125000	-47.844002
